Bird	Year	Trip Num	Start	Stop	Duration	Fly	Dive	Rest	FirstFlight	LastFlight
a01220_7-1-2008.csv	2008	3	6/24/08 3:52	6/24/08 21:40	64095	6495	16591	41009	0:16:10	0:05:10
a01229_7-1-2008.csv	2008	3	6/24/08 4:35	6/24/08 21:59	62650	7410	5115	50125	0:24:55	0:16:55
a01229_7-1-2008.csv	2008	4	6/25/08 4:43	6/25/08 22:06	62615	8890	5738	47987	0:03:30	0:18:25
a01245_7-1-2008.csv	2008	3	6/24/08 4:27	6/24/08 21:50	62545	3080	12078	47387	0:00:00	0:00:00
a01245_7-1-2008.csv	2008	4	6/25/08 4:35	6/25/08 21:49	62030	5470	16359	40201	0:31:40	0:00:00
a01257_7-1-2008.csv	2008	3	6/24/08 3:44	6/24/08 22:00	65785	13395	6032	46358	0:44:35	1:01:20
a01257_7-1-2008.csv	2008	4	6/25/08 4:37	6/25/08 21:59	62550	8915	945	52690	0:35:25	1:00:05
a02403_5-28-2008.csv	2008	2	5/26/08 1:44	5/26/08 21:44	71985	5295	16099	50591	0:01:15	0:15:35
a02403_5-28-2008.csv	2008	4	5/28/08 4:12	5/28/08 21:50	63485	5425	22230	35830	0:04:05	0:26:15
a02404_5-29-2008.csv	2008	2	5/26/08 4:42	5/26/08 21:25	60185	15110	18424	26651	0:23:55	0:28:10
a02404_5-29-2008.csv	2008	3	5/27/08 5:11	5/27/08 21:32	58850	7425	15772	35653	0:29:10	0:31:15
a02404_5-29-2008.csv	2008	4	5/28/08 5:08	5/28/08 21:37	59365	2340	19846	37179	0:00:00	0:16:30
a02405_5-29-2008.csv	2008	2	5/26/08 3:17	5/26/08 21:42	66345	11240	16178	38927	0:53:10	0:46:45
a02405_5-29-2008.csv	2008	3	5/27/08 4:28	5/27/08 21:47	62305	10325	17291	34689	0:30:10	0:25:25
a02405_5-29-2008.csv	2008	4	5/28/08 4:53	5/28/08 21:57	61435	9315	8428	43692	0:18:30	0:00:00
a02408_5-28-2008.csv	2008	2	5/26/08 4:59	5/26/08 21:39	59970	19135	21758	19077	0:22:10	0:39:15
a02408_5-28-2008.csv	2008	3	5/27/08 5:15	5/27/08 21:32	58615	17650	14462	26503	0:20:35	0:37:35
a02409_5-29-2008.csv	2008	2	5/27/08 3:57	5/27/08 21:49	64310	9020	4792	50498	0:33:15	0:48:25
a02409_5-29-2008.csv	2008	3	5/28/08 4:59	5/28/08 21:47	60430	6305	11483	42642	0:17:45	0:27:20
a02409_7-1-2008.csv	2008	3	6/24/08 4:02	6/24/08 22:08	65215	11510	8450	45255	0:40:45	0:11:00
a02409_7-1-2008.csv	2008	4	6/25/08 4:59	6/25/08 22:14	62080	10890	3706	47484	0:32:35	0:25:10
a02411_5-28-2008.csv	2008	2	5/26/08 4:57	5/26/08 21:35	59880	18010	14613	27257	0:49:40	0:30:00
a02411_5-28-2008.csv	2008	3	5/27/08 5:12	5/27/08 21:27	58540	9455	17943	31142	0:09:15	0:09:40
a02415_5-28-2008.csv	2008	2	5/26/08 4:50	5/26/08 21:27	59790	16505	15026	28259	0:52:55	0:36:35
a02415_5-28-2008.csv	2008	3	5/27/08 5:00	5/27/08 21:23	58985	8935	13204	36846	0:20:25	0:18:10
a02416_5-29-2008.csv	2008	2	5/26/08 4:15	5/26/08 21:33	62270	5120	10115	47035	0:11:40	0:31:50
a02416_5-29-2008.csv	2008	4	5/28/08 4:53	5/28/08 21:38	60290	4760	21358	34172	0:00:00	0:15:15
a02417_5-30-2008.csv	2008	2	5/26/08 4:18	5/26/08 21:43	62685	10110	12570	40005	0:02:20	0:28:10
a02417_5-30-2008.csv	2008	3	5/27/08 4:29	5/27/08 21:39	61805	4745	11108	45952	0:20:10	0:00:00
a02417_5-30-2008.csv	2008	4	5/28/08 4:58	5/28/08 23:59	68465	2190	6071	60204	0:21:20	N/A
a02417_5-30-2008.csv	2008	5	5/29/08 0:00	5/29/08 23:59	86395	0	310	86085	N/A	N/A
nest17b.csv	2008	2	5/26/08 3:28	5/26/08 21:43	65655	8285	15538	41832	0:39:20	0:09:25
caau_carp shop_13_a02433_5-18-2009.csv	2009	2	5/15/09 5:06	5/15/09 21:39	59585	7485	8798	43302	0:19:00	0:18:50
caau_carp shop_13_a02433_5-18-2009.csv	2009	3	5/16/09 4:57	5/16/09 22:01	61460	10210	20731	30519	0:30:40	0:52:50
caau_carp shop_13_a02433_5-18-2009.csv	2009	4	5/17/09 4:32	5/17/09 21:18	60380	6830	12145	41405	0:46:50	0:47:55
caau_carp shop_5_a02426_6-18-2009.csv	2009	1	6/16/09 4:55	6/16/09 22:07	61890	235	11261	50394	0:00:00	0:00:00
caau_carp shop_5_a02426_6-18-2009.csv	2009	2	6/17/09 5:05	6/17/09 21:48	60130	2380	20554	37196	0:09:40	0:00:00
caau_carp shop_5_a02426_6-18-2009.csv	2009	3	6/18/09 4:56	6/18/09 22:04	61695	165	24611	36919	0:00:00	0:00:00
caau_carp shop_71_a02425_6-18-2009.csv	2009	1	6/16/09 4:38	6/16/09 21:40	61300	0	4278	57022	0:00:00	0:00:00
caau_carp shop_71_a02425_6-18-2009.csv	2009	2	6/17/09 4:54	6/17/09 21:44	60625	0	23774	36851	0:00:00	0:00:00
caau_carp shop_71_a02425_6-18-2009.csv	2009	3	6/18/09 4:51	6/18/09 22:00	61765	470	22114	39181	0:00:00	0:00:00
caau_carp shop_89_a02425_5-18-2009.csv	2009	2	5/15/09 4:48	5/15/09 21:07	58765	8700	24014	26051	0:23:40	0:16:25
caau_carp shop_89_a02425_5-18-2009.csv	2009	3	5/16/09 5:07	5/16/09 21:14	57975	2630	13668	41677	0:27:10	0:11:15
caau_carp shop_89_a02425_5-18-2009.csv	2009	4	5/17/09 4:49	5/17/09 21:15	59175	8975	20495	29705	0:15:35	0:20:00
caau_coast guard_100_a02432_6-20-2009.csv	2009	1	6/16/09 4:44	6/16/09 21:48	61415	3485	7894	50036	0:21:10	0:00:00
caau_coast guard_100_a02432_6-20-2009.csv	2009	2	6/17/09 4:45	6/17/09 21:43	61110	4840	18218	38052	0:09:45	0:00:00
caau_coast guard_100_a02432_6-20-2009.csv	2009	3	6/18/09 4:45	6/18/09 21:44	61185	0	20768	40417	0:00:00	0:00:00
caau_coast guard_100_a02432_6-20-2009.csv	2009	4	6/19/09 4:44	6/19/09 21:54	61780	1420	25445	34915	0:00:00	0:15:15
caau_coast guard_100_a02432_6-20-2009.csv	2009	5	6/20/09 4:38	6/20/09 21:39	61260	1740	23828	35692	0:00:00	0:00:00
caau_coast guard_112_a02429_5-18-2009.csv	2009	2	5/15/09 4:57	5/15/09 21:17	58785	6610	14354	37821	0:01:50	0:14:40
caau_coast guard_112_a02429_5-18-2009.csv	2009	3	5/16/09 5:01	5/16/09 21:16	58515	2985	13826	41704	0:18:05	0:06:50
caau_coast guard_112_a02429_5-18-2009.csv	2009	4	5/17/09 4:40	5/17/09 21:19	59910	5180	22892	31838	0:25:30	0:11:30
caau_coast guard_130_a02421_5-18-2009.csv	2009	2	5/15/09 5:03	5/15/09 21:32	59300	8680	15226	35394	0:05:00	0:13:45
caau_coast guard_130_a02421_5-18-2009.csv	2009	3	5/16/09 4:45	5/16/09 21:42	61060	11475	23134	26451	0:29:45	0:04:20
caau_coast guard_130_a02421_5-18-2009.csv	2009	4	5/17/09 4:45	5/17/09 21:48	61370	1185	26208	33977	0:00:00	0:00:00
caau_coast guard_137_a02429_6-20-2009.csv	2009	1	6/16/09 4:51	6/16/09 21:43	60755	1305	8363	51087	0:05:20	0:00:00
caau_coast guard_137_a02429_6-20-2009.csv	2009	2	6/17/09 4:53	6/17/09 21:47	60840	2900	17474	40466	0:14:25	0:00:00
caau_coast guard_137_a02429_6-20-2009.csv	2009	3	6/18/09 4:46	6/18/09 21:57	61860	400	22007	39453	0:00:00	0:04:50
caau_coast guard_137_a02429_6-20-2009.csv	2009	4	6/19/09 5:00	6/19/09 21:46	60310	3570	1988	54752	0:07:30	0:04:05
caau_coast guard_137_a02429_6-20-2009.csv	2009	5	6/20/09 4:49	6/20/09 21:46	61045	3655	2713	54677	0:22:15	0:03:05
caau_coast guard_158_a02422_6-19-2009.csv	2009	1	6/16/09 4:40	6/16/09 22:04	62600	2290	11172	49138	0:00:00	0:00:00
caau_coast guard_158_a02422_6-19-2009.csv	2009	2	6/17/09 4:53	6/17/09 23:37	67430	7440	14461	45529	0:00:00	0:00:00
caau_coast guard_158_a02422_6-19-2009.csv	2009	3	6/18/09 4:31	6/18/09 23:30	68365	220	25336	42809	0:00:00	0:00:00
caau_corm blind_381_a02407_5-17-2009.csv	2009	2	5/15/09 5:06	5/15/09 21:21	58510	11240	26659	20611	0:08:10	0:31:45
caau_corm blind_381_a02407_5-17-2009.csv	2009	3	5/16/09 5:08	5/16/09 21:25	58625	2365	7247	49013	0:16:25	0:13:30
caau_corm blind_381_a02407_5-17-2009.csv	2009	4	5/17/09 5:01	5/17/09 21:25	59025	1375	23946	33704	0:12:10	0
caau_corm blind_389_a02401_5-18-2009.csv	2009	2	5/15/09 4:45	5/15/09 21:17	59490	7995	16440	35055	0:21:35	0:14:45
caau_corm blind_389_a02401_5-18-2009.csv	2009	4	5/17/09 4:36	5/17/09 21:28	60745	4665	26549	29531	0:12:05	0:11:55
caau_lhh_175_a02432_5-18-2009.csv	2009	2	5/15/09 4:33	5/15/09 21:28	60925	6235	15599	39091	0:40:30	0:31:50
caau_lhh_175_a02432_5-18-2009.csv	2009	3	5/16/09 5:10	5/16/09 21:31	58835	3785	10044	45006	0:19:45	0:07:50
caau_lhh_175_a02432_5-18-2009.csv	2009	4	5/17/09 4:47	5/17/09 21:32	60290	5535	19962	34793	0:32:35	0:10:20
caau_lhh_177_a02401_6-20-2009.csv	2009	1	6/16/09 5:03	6/16/09 21:39	59745	120	7562	52063	0:00:00	0:00:00
caau_lhh_177_a02401_6-20-2009.csv	2009	2	6/17/09 4:59	6/17/09 21:39	59995	790	16575	42630	0	0
caau_lhh_177_a02401_6-20-2009.csv	2009	3	6/18/09 5:01	6/18/09 21:53	60690	0	25007	35683	0:00:00	0:00:00
caau_lhh_177_a02401_6-20-2009.csv	2009	4	6/19/09 4:59	6/19/09 21:50	60660	1350	30489	28821	0:00:00	0:00:00
"trial3_lhh_179_a02419_6-1-2009_clock reset (do not use trips from 5-17, 5-18, 5-19 - abnormal data).csv"	2009	2	5/15/09 4:53	5/15/09 21:16	58980	4035	24295	30650	0:07:25	0:08:05
"trial3_lhh_179_a02419_6-1-2009_clock reset (do not use trips from 5-17, 5-18, 5-19 - abnormal data).csv"	2009	3	5/16/09 4:52	5/16/09 21:37	60275	2800	15787	41688	0:23:55	0:14:00
"trial3_lhh_179_a02419_6-1-2009_clock reset (do not use trips from 5-17, 5-18, 5-19 - abnormal data).csv"	2009	4	5/17/09 4:58	5/17/09 21:34	59770	3270	19792	36708	0:09:15	0:13:10
a05107_29-07-10_lhh 220.csv	2010	1	7/26/10 5:23	7/26/10 21:42	58745	0	8008	50737	0:00:00	0:00:00
a05107_29-07-10_lhh 220.csv	2010	2	7/27/10 5:19	7/27/10 21:44	59095	275	10126	48694	0:00:00	0:00:00
a05107_29-07-10_lhh 220.csv	2010	3	7/28/10 5:20	7/28/10 21:36	58555	2450	8276	47829	0	0
a05108_29-07-10_cg 154.csv	2010	1	7/26/10 5:09	7/26/10 21:32	59015	595	10355	48065	0:00:00	0:00:00
a05108_29-07-10_cg 154.csv	2010	2	7/27/10 3:58	7/27/10 21:24	62795	1445	6730	54620	0:00:00	0:00:00
a05108_29-07-10_cg 154.csv	2010	3	7/28/10 5:17	7/28/10 21:24	57995	4315	8685	44995	0	0
a05109_28-07-10_lhh 209 (found 3-20-16).csv	2010	1	7/26/10 5:21	7/26/10 21:51	59445	920	10709	47816	0:00:00	0:00:00
a05109_28-07-10_lhh 209 (found 3-20-16).csv	2010	2	7/27/10 5:17	7/27/10 21:47	59380	150	8615	50615	0:00:00	0:00:00
a05110_29-07-10_lhh 237.csv	2010	1	7/26/10 5:44	7/26/10 21:29	56685	1020	11091	44574	0:17:00	0:00:00
a05110_29-07-10_lhh 237.csv	2010	2	7/27/10 5:37	7/27/10 21:38	57680	0	11423	46257	0	0
a05110_29-07-10_lhh 237.csv	2010	3	7/28/10 5:35	7/28/10 21:24	56935	1700	11430	43805	0	0
a05315_20-05-10.csv	2010	2	5/18/10 3:47	5/18/10 23:59	72720	17820	1309	53591	0:46:05	N/A
a05315_20-05-10.csv	2010	3	5/19/10 0:00	5/19/10 21:35	77745	3275	14818	59652	N/A	0:03:20
a05315_20-05-10.csv	2010	4	5/20/10 4:58	5/20/10 21:25	59275	1200	17636	40439	0:09:40	0
a05315_24-05-10.csv	2010	2	5/22/10 4:50	5/22/10 21:48	61090	3880	16965	40245	0:29:45	0:05:10
a05315_24-05-10.csv	2010	3	5/23/10 4:58	5/23/10 21:36	59885	5865	28099	25921	0	0:27:30
a05315_24-05-10.csv	2010	4	5/24/10 5:12	5/24/10 21:33	58850	9480	19584	29786	0:29:40	0:06:25
